epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,672.322,0.50042,0.39359,0.00293,0.9469,0.94011,0.95704,0.8936,0.4405,0.34248,0.00318,0.00101264,0.00101264,0.00101264
60,683.532,0.47874,0.38355,0.00283,0.93869,0.94412,0.95624,0.88857,0.44953,0.33731,0.00339,0.00100933,0.00100933,0.00100933
61,694.824,0.49588,0.38422,0.00289,0.93559,0.94336,0.96088,0.88529,0.48643,0.35681,0.00354,0.00100597,0.00100597,0.00100597
62,705.994,0.4882,0.38345,0.00289,0.9455,0.93805,0.95754,0.89049,0.44795,0.33985,0.00328,0.00100256,0.00100256,0.00100256
63,717.169,0.51002,0.40771,0.00302,0.94357,0.94499,0.95818,0.89298,0.43064,0.34137,0.00301,0.000999103,0.000999103,0.000999103
64,728.476,0.4964,0.39061,0.00288,0.94398,0.93959,0.95696,0.8923,0.4457,0.34494,0.00303,0.000995597,0.000995597,0.000995597
65,740.126,0.50589,0.40767,0.00305,0.94393,0.94189,0.95654,0.89545,0.45256,0.3444,0.00317,0.000992043,0.000992043,0.000992043
66,751.565,0.49557,0.39696,0.00286,0.94303,0.94312,0.95778,0.89167,0.45912,0.33793,0.00326,0.000988443,0.000988443,0.000988443
67,762.763,0.49358,0.38787,0.00287,0.94173,0.94315,0.9617,0.89164,0.4472,0.31605,0.00321,0.000984795,0.000984795,0.000984795
68,773.946,0.47781,0.39476,0.00285,0.93668,0.94507,0.96051,0.88544,0.47104,0.335,0.00333,0.000981101,0.000981101,0.000981101
69,785.128,0.47458,0.38446,0.00293,0.94052,0.94305,0.95782,0.89596,0.44135,0.33636,0.00304,0.000977361,0.000977361,0.000977361
70,796.489,0.47151,0.38925,0.00292,0.94216,0.9425,0.95965,0.8846,0.46361,0.32919,0.00356,0.000973575,0.000973575,0.000973575
71,808.077,0.4777,0.38231,0.00281,0.9384,0.93949,0.95825,0.89844,0.43321,0.32829,0.00303,0.000969744,0.000969744,0.000969744
72,819.267,0.46966,0.37644,0.00281,0.9415,0.9439,0.95939,0.89338,0.4387,0.32478,0.00315,0.000965868,0.000965868,0.000965868
73,830.649,0.47902,0.38459,0.00279,0.93322,0.93878,0.96117,0.88139,0.46376,0.33288,0.00335,0.000961948,0.000961948,0.000961948
74,841.842,0.48053,0.38539,0.00288,0.93831,0.93227,0.96175,0.89111,0.45419,0.32468,0.0032,0.000957983,0.000957983,0.000957983
75,853.114,0.48571,0.38433,0.00295,0.94283,0.94286,0.96353,0.89051,0.45186,0.32173,0.00322,0.000953976,0.000953976,0.000953976
76,864.206,0.48648,0.38538,0.00287,0.94354,0.94229,0.96333,0.8887,0.47289,0.33277,0.00324,0.000949925,0.000949925,0.000949925
77,875.406,0.47737,0.37782,0.00277,0.93951,0.93607,0.95869,0.88684,0.46177,0.33304,0.00326,0.000945831,0.000945831,0.000945831
78,886.43,0.47582,0.37398,0.00278,0.94556,0.94121,0.96186,0.89496,0.44538,0.32767,0.00323,0.000941696,0.000941696,0.000941696
79,897.552,0.47591,0.37898,0.00272,0.94229,0.94092,0.95947,0.89754,0.43487,0.34009,0.00288,0.000937518,0.000937518,0.000937518
80,908.701,0.47841,0.38,0.00281,0.94477,0.94364,0.95847,0.90062,0.41981,0.33363,0.00281,0.0009333,0.0009333,0.0009333
81,920.028,0.46867,0.38358,0.00287,0.9397,0.93705,0.95844,0.89575,0.43452,0.32982,0.003,0.00092904,0.00092904,0.00092904
82,931.203,0.4603,0.38065,0.00277,0.9458,0.93576,0.95915,0.89601,0.43208,0.32871,0.00304,0.00092474,0.00092474,0.00092474
83,942.821,0.46204,0.36861,0.00267,0.94587,0.93874,0.96065,0.89855,0.43316,0.32829,0.00311,0.0009204,0.0009204,0.0009204
84,954.211,0.47255,0.3857,0.00276,0.94819,0.93917,0.96045,0.89813,0.43325,0.32402,0.00301,0.000916021,0.000916021,0.000916021
85,965.608,0.46365,0.3694,0.00274,0.94434,0.94213,0.95967,0.90167,0.43021,0.32328,0.00321,0.000911603,0.000911603,0.000911603
86,977.326,0.47507,0.39013,0.00266,0.93282,0.94337,0.95937,0.8983,0.43517,0.32983,0.00308,0.000907147,0.000907147,0.000907147
