epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,799.119,0.37939,0.34653,0.84264,0.9488,0.948,0.96357,0.89912,0.4091,0.32184,0.78498,0.000825993,0.000825993,0.000825993
104,806.771,0.38762,0.3484,0.84373,0.94882,0.94802,0.96316,0.8987,0.40668,0.3288,0.78487,0.000820932,0.000820932,0.000820932
105,814.347,0.38387,0.35011,0.84525,0.94827,0.9485,0.96463,0.90354,0.40039,0.32286,0.78329,0.000815842,0.000815842,0.000815842
106,821.965,0.38624,0.35082,0.8488,0.9478,0.94852,0.96344,0.90144,0.39666,0.3187,0.78293,0.000810725,0.000810725,0.000810725
107,829.591,0.38156,0.34691,0.84292,0.94604,0.94833,0.96413,0.90685,0.38241,0.31953,0.77938,0.00080558,0.00080558,0.00080558
108,837.265,0.37874,0.34134,0.84269,0.94777,0.94868,0.96338,0.90249,0.38819,0.31666,0.78347,0.000800408,0.000800408,0.000800408
109,844.811,0.3736,0.34162,0.84087,0.94665,0.94859,0.96268,0.89783,0.39886,0.32343,0.78412,0.00079521,0.00079521,0.00079521
110,852.374,0.38362,0.34578,0.84465,0.94702,0.94861,0.96192,0.90502,0.38222,0.32328,0.78316,0.000789987,0.000789987,0.000789987
111,860.137,0.38158,0.3467,0.84407,0.94728,0.94875,0.96331,0.9011,0.38915,0.32399,0.7806,0.000784738,0.000784738,0.000784738
112,868.278,0.38353,0.34919,0.84581,0.94783,0.94872,0.96459,0.90589,0.38253,0.31605,0.77934,0.000779464,0.000779464,0.000779464
113,876.224,0.37478,0.3406,0.84293,0.94747,0.94812,0.96466,0.90392,0.38882,0.31698,0.78152,0.000774167,0.000774167,0.000774167
114,884.271,0.37323,0.33748,0.84046,0.94802,0.94839,0.96444,0.90457,0.38784,0.31245,0.78125,0.000768847,0.000768847,0.000768847
115,892.19,0.37647,0.34212,0.84072,0.9477,0.94854,0.96388,0.90028,0.39443,0.31905,0.78199,0.000763503,0.000763503,0.000763503
116,900.128,0.37778,0.34404,0.84287,0.94614,0.94867,0.96396,0.90596,0.37888,0.31674,0.77798,0.000758138,0.000758138,0.000758138
117,908.082,0.37642,0.34177,0.84105,0.94762,0.94836,0.96384,0.90812,0.37104,0.31042,0.77661,0.00075275,0.00075275,0.00075275
118,915.896,0.37504,0.34196,0.84402,0.94742,0.94855,0.96358,0.90029,0.40371,0.31312,0.78058,0.000747342,0.000747342,0.000747342
119,923.66,0.37696,0.34204,0.84466,0.9479,0.94829,0.96374,0.90559,0.38934,0.31328,0.78216,0.000741914,0.000741914,0.000741914
120,931.328,0.37004,0.33651,0.83865,0.94768,0.94795,0.96451,0.90423,0.38808,0.31395,0.78204,0.000736465,0.000736465,0.000736465
121,939.219,0.37246,0.34368,0.8412,0.94737,0.94843,0.96444,0.8997,0.4012,0.31718,0.78359,0.000730997,0.000730997,0.000730997
122,946.982,0.37814,0.34045,0.84086,0.94769,0.94822,0.96499,0.90488,0.39076,0.31242,0.78502,0.000725511,0.000725511,0.000725511
123,954.543,0.36969,0.34019,0.84257,0.94763,0.94813,0.96521,0.90245,0.39537,0.3115,0.78242,0.000720007,0.000720007,0.000720007
124,962.256,0.37442,0.34106,0.83837,0.94635,0.94849,0.96502,0.9072,0.38592,0.31569,0.78005,0.000714485,0.000714485,0.000714485
125,969.854,0.36725,0.34151,0.84147,0.94789,0.9482,0.96547,0.90861,0.37269,0.31311,0.77809,0.000708946,0.000708946,0.000708946
126,977.495,0.36168,0.32612,0.83747,0.94727,0.94849,0.96613,0.90788,0.38103,0.30826,0.77818,0.000703391,0.000703391,0.000703391
127,985.168,0.36445,0.33166,0.83741,0.94814,0.94839,0.96439,0.90727,0.38148,0.31286,0.78057,0.000697821,0.000697821,0.000697821
128,992.81,0.37044,0.34093,0.84143,0.9479,0.94826,0.96578,0.90984,0.3669,0.30394,0.77604,0.000692235,0.000692235,0.000692235
129,1000.49,0.3684,0.33829,0.83999,0.94748,0.94792,0.96639,0.90704,0.38431,0.30869,0.77904,0.000686635,0.000686635,0.000686635
130,1008.14,0.36534,0.33755,0.84363,0.9478,0.94815,0.96675,0.90662,0.38108,0.30373,0.77784,0.000681022,0.000681022,0.000681022
131,1015.81,0.36681,0.33583,0.8405,0.94792,0.94806,0.9653,0.90659,0.38022,0.30853,0.77911,0.000675395,0.000675395,0.000675395
132,1023.4,0.37177,0.33929,0.84198,0.94607,0.94842,0.96596,0.9079,0.38172,0.30901,0.77656,0.000669756,0.000669756,0.000669756
133,1031.04,0.36293,0.33549,0.84089,0.9467,0.94881,0.96506,0.90322,0.3745,0.30361,0.77456,0.000664104,0.000664104,0.000664104
134,1038.59,0.3613,0.3303,0.83909,0.94552,0.94778,0.96626,0.90384,0.39382,0.31245,0.7809,0.000658442,0.000658442,0.000658442
135,1046.25,0.36113,0.32928,0.8372,0.94798,0.9479,0.96577,0.90696,0.38238,0.30553,0.77611,0.000652769,0.000652769,0.000652769
136,1053.97,0.36209,0.33527,0.83701,0.94692,0.94808,0.96521,0.9028,0.39262,0.3124,0.77959,0.000647085,0.000647085,0.000647085
137,1061.65,0.3685,0.33597,0.84044,0.94616,0.9487,0.96405,0.90588,0.37686,0.31217,0.78047,0.000641393,0.000641393,0.000641393
138,1069.33,0.36557,0.3411,0.83981,0.94763,0.9487,0.96428,0.90768,0.3757,0.30465,0.77734,0.000635691,0.000635691,0.000635691
139,1076.92,0.36513,0.33886,0.83823,0.94576,0.9482,0.96475,0.90901,0.37234,0.30642,0.77768,0.000629981,0.000629981,0.000629981
140,1084.53,0.36537,0.33761,0.83855,0.94723,0.94849,0.96416,0.90951,0.37007,0.30893,0.77931,0.000624264,0.000624264,0.000624264
141,1092.16,0.35607,0.33023,0.83881,0.94748,0.94864,0.96503,0.91185,0.36061,0.30051,0.77505,0.00061854,0.00061854,0.00061854
142,1100.07,0.35799,0.33389,0.8362,0.94718,0.94853,0.96553,0.9101,0.37499,0.30686,0.77651,0.000612809,0.000612809,0.000612809
143,1107.92,0.35943,0.32701,0.84,0.94699,0.9482,0.96551,0.90959,0.36535,0.30166,0.77718,0.000607073,0.000607073,0.000607073
144,1115.93,0.36101,0.33085,0.84117,0.94763,0.94847,0.96521,0.91023,0.37066,0.3055,0.77878,0.000601332,0.000601332,0.000601332
145,1124.04,0.35809,0.33167,0.83966,0.94731,0.94857,0.96548,0.91122,0.36471,0.30206,0.77625,0.000595586,0.000595586,0.000595586
146,1131.85,0.36602,0.33697,0.83936,0.94472,0.94849,0.96581,0.90668,0.38625,0.31255,0.77999,0.000589837,0.000589837,0.000589837
147,1139.64,0.35929,0.33473,0.83804,0.94746,0.94849,0.96516,0.90827,0.37737,0.30797,0.7805,0.000584084,0.000584084,0.000584084
148,1147.62,0.36232,0.32915,0.84123,0.947,0.94871,0.9644,0.90762,0.37604,0.30248,0.77833,0.000578329,0.000578329,0.000578329
149,1155.45,0.36001,0.33474,0.83764,0.94673,0.94865,0.96567,0.90597,0.37976,0.31014,0.77895,0.000572572,0.000572572,0.000572572
150,1163.19,0.35746,0.33065,0.83965,0.94468,0.94849,0.96629,0.90991,0.37398,0.30503,0.77696,0.000566814,0.000566814,0.000566814
151,1170.94,0.35907,0.33082,0.83939,0.94573,0.94849,0.9666,0.91152,0.36894,0.30102,0.77574,0.000561055,0.000561055,0.000561055
152,1178.91,0.35123,0.32504,0.83728,0.9476,0.94764,0.96535,0.9098,0.37049,0.30343,0.77836,0.000555296,0.000555296,0.000555296
153,1186.63,0.35893,0.33134,0.83929,0.94835,0.9484,0.96575,0.90641,0.39105,0.3104,0.78121,0.000549538,0.000549538,0.000549538
154,1194.28,0.36047,0.33738,0.83638,0.948,0.94842,0.96647,0.90863,0.37706,0.30838,0.77818,0.000543781,0.000543781,0.000543781
155,1202.12,0.35368,0.32651,0.83526,0.94759,0.94826,0.9661,0.91058,0.37208,0.30639,0.77763,0.000538026,0.000538026,0.000538026
156,1209.74,0.35449,0.32709,0.8357,0.94872,0.94693,0.96644,0.907,0.3824,0.30991,0.78245,0.000532273,0.000532273,0.000532273
157,1217.42,0.35571,0.32982,0.83775,0.94752,0.94834,0.96521,0.91052,0.3685,0.30037,0.77661,0.000526524,0.000526524,0.000526524
158,1225.09,0.3542,0.32328,0.83486,0.94794,0.94832,0.96589,0.91206,0.36523,0.30212,0.77746,0.000520778,0.000520778,0.000520778
159,1232.75,0.3494,0.32436,0.83564,0.94822,0.94779,0.96594,0.91092,0.36931,0.30389,0.77744,0.000515037,0.000515037,0.000515037
160,1240.44,0.35456,0.33146,0.83691,0.94678,0.94853,0.96758,0.91375,0.36415,0.30227,0.77526,0.000509301,0.000509301,0.000509301
161,1248.09,0.3516,0.32561,0.83503,0.94863,0.94755,0.96742,0.90942,0.3782,0.30359,0.77622,0.00050357,0.00050357,0.00050357
162,1255.73,0.35142,0.33014,0.83595,0.94802,0.94845,0.96712,0.91235,0.36435,0.29966,0.77269,0.000497846,0.000497846,0.000497846
163,1263.36,0.35349,0.33403,0.83641,0.94901,0.94808,0.96632,0.91179,0.35824,0.29209,0.77232,0.000492129,0.000492129,0.000492129
164,1270.97,0.3536,0.33044,0.8377,0.94729,0.94833,0.96633,0.90963,0.38448,0.30056,0.77543,0.000486419,0.000486419,0.000486419
165,1278.53,0.35018,0.32519,0.8347,0.9476,0.94806,0.96589,0.9099,0.3774,0.30473,0.77607,0.000480717,0.000480717,0.000480717
166,1286.16,0.3501,0.32926,0.83673,0.9482,0.94827,0.96695,0.91191,0.36972,0.29675,0.77357,0.000475025,0.000475025,0.000475025
167,1293.84,0.34878,0.32467,0.83927,0.94754,0.94799,0.96671,0.91048,0.37375,0.29909,0.77569,0.000469341,0.000469341,0.000469341
168,1301.45,0.34881,0.32214,0.8369,0.94652,0.94893,0.96371,0.90684,0.37868,0.29942,0.77763,0.000463668,0.000463668,0.000463668
169,1309.01,0.35097,0.3321,0.83684,0.94586,0.94884,0.96275,0.90778,0.3705,0.30324,0.77719,0.000458006,0.000458006,0.000458006
170,1316.57,0.34851,0.32675,0.83609,0.94732,0.94834,0.96578,0.90879,0.37219,0.29799,0.77526,0.000452354,0.000452354,0.000452354
171,1324.2,0.34454,0.32034,0.83198,0.94694,0.94873,0.96572,0.91183,0.36403,0.30024,0.77336,0.000446715,0.000446715,0.000446715
172,1331.94,0.34404,0.32318,0.83406,0.94855,0.94764,0.96631,0.91154,0.36733,0.29327,0.77329,0.000441088,0.000441088,0.000441088
173,1339.82,0.34239,0.32309,0.83482,0.9479,0.94859,0.96599,0.91194,0.3667,0.29809,0.77583,0.000435475,0.000435475,0.000435475
174,1347.81,0.34834,0.32757,0.8382,0.94815,0.94834,0.96535,0.91013,0.37093,0.30506,0.77843,0.000429875,0.000429875,0.000429875
175,1355.88,0.34087,0.31711,0.83412,0.94584,0.94861,0.96568,0.91193,0.3553,0.29757,0.77623,0.000424289,0.000424289,0.000424289
176,1363.84,0.35229,0.32746,0.83736,0.94764,0.94695,0.96531,0.91241,0.35656,0.294,0.77495,0.000418719,0.000418719,0.000418719
177,1371.62,0.34579,0.32137,0.83631,0.94773,0.94834,0.96504,0.90893,0.36394,0.30001,0.77602,0.000413164,0.000413164,0.000413164
178,1379.42,0.34601,0.32381,0.83621,0.94788,0.94836,0.96599,0.91099,0.36114,0.29559,0.77386,0.000407625,0.000407625,0.000407625
179,1387.09,0.34619,0.3249,0.83936,0.94671,0.94842,0.96645,0.91305,0.36398,0.29657,0.77447,0.000402103,0.000402103,0.000402103
180,1395.13,0.34649,0.31935,0.83366,0.94867,0.94793,0.96635,0.91399,0.35752,0.29808,0.77402,0.000396599,0.000396599,0.000396599
181,1403.17,0.34779,0.32151,0.83378,0.94856,0.94841,0.96567,0.91228,0.36391,0.29665,0.77587,0.000391113,0.000391113,0.000391113
182,1411.22,0.34334,0.31973,0.83305,0.94879,0.94797,0.96577,0.91132,0.36139,0.29375,0.77487,0.000385645,0.000385645,0.000385645
183,1419.47,0.34062,0.32262,0.83476,0.94842,0.94855,0.96647,0.91126,0.35856,0.29719,0.77424,0.000380196,0.000380196,0.000380196
